deposit_address,confidence,deposit_address_validator_count,withdrawal_addresses,avg_activation_epoch,related_withdrawal_address_validator_count
0x13e9b76e346cf4dbaefcb03e8f1c35610d85796d,0.9995364,1,[0xc88e421e20793c0764ba1444aab915ce79b53b2f],2521,1
0x699eccb8be55e0a5b2a5a58fa5953831cde013e6,0.9995351,12,[0x920b121f1297bd92c3870e95154db590f96d061b],71750,16
0x99f43fa723842b29311622bfd882ec2a3f6bb60a,0.999535,1,[0x99f43fa723842b29311622bfd882ec2a3f6bb60a],13034,1
0x1549c2b8d911daeed8cd81dd7eabc394d6de6de3,0.99953496,56,"[0x0561e5b036ddcf2401c2b6b486f85451d75760a2,0x5643a8c91af16778dc8168d4920ec0e6bb059da9,0x5a35eed71cfe12b9bc50d4e441f42238dc744861]",10449,56
0x14f8402cfeadb98df5a4ef6b3e45004130db8d23,0.99953425,1,[0x1fb2c36e2a6b50d92cb5202fb454fb08ec83231d],227,1
0x2337b31a8e6c402677c94973a71ec34a6b719bd4,0.9995339,1,[0xaed042b0532410706a23adf56ddc04fa31cd8318],142761,1
0x10a3afa2c5e28ac8176867b0561e18d91bd80a63,0.99953336,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x552230ac24d1fc1213b9f705903e306f22a57fc0,0.9995327,20,[0xd9cfca2ed13a156f3092532175ed547d5a40f599],0,20
0x09b612b138a31170f9fbcc4c6bae87ec3f7d4e4e,0.99953204,10,[0x09b612b138a31170f9fbcc4c6bae87ec3f7d4e4e],0,10
0xf7098d1fde0cdf43abbcc4f01e16aa11ab69029b,0.99953153,2,[0xf7098d1fde0cdf43abbcc4f01e16aa11ab69029b],0,2
0xa90450408c4a50ebde0001e1d9ad7ed00d43d250,0.9995311,1,[0xd248e822a1684bb696f087fd3d3f772a0ae63260],1736,1
0xd47f28c12d63c5a66abb208988ca83278d9ea0fa,0.99952805,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x46c05b23ce383039bdaf5dcd2d26eabad787a505,0.9995232,1,[0x46c05b23ce383039bdaf5dcd2d26eabad787a505],33320,1
0x00e1a41f793325e52c86b55aa9b344ccc2a93bc8,0.99952155,12,[0xfe467423a4a1bfd815635a3cfc259b5018264aa4],17746,12
0xb8b46ece75588cdf9e8a6c09fad89bbb9b8f1a53,0.99952143,6,[0xb8b46ece75588cdf9e8a6c09fad89bbb9b8f1a53],5980,6
0x85402d9f178a56af0a251d86116fb7d51ecd2db5,0.99951375,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x0c679562b4b0fd18df2e18e6fc468b996f661626,0.99951375,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xba3a9379aa0a4aeb4dfbf6462f3f18f8521a5b40,0.9995126,3,[0xf6bfc9b6c62b041c6fa1cb1917dcd8f92f65213d],15427,3
0xaec6e603a2aa460dfc726d134e680dcd92079f00,0.9995122,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x3e8bc8f41effcda1d122b70be2d2683995cdb5e2,0.99950993,1,[],43137,
0xc6f962086b0bc8d988fc3f285a43ebef599700f2,0.9995054,1,[],1511,
0x1be10daf67e454621aee2061c3fb40dc5486547c,0.99950445,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x0c64b2376c51b512a32299239f5e765c4c2e8296,0.999502,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xb64d0e74a513cccdc47aae9fbab55cfe1f76f188,0.99950117,1,[0x1ec8a54dd96190f57a94a745499c641be6cb80b9],0,1
0x004a28d65e7123cc48360ea69abcc527301c826a,0.9995001,64,[],172,
0x7bfa88c9fce08c78188d1892bbde588e8fb2d9dd,0.9994961,10,[],886,
0x0366a658a68dcf3f2e60bc7b56a570980b9e5602,0.9994938,4,[],10547,
0x69ad95b08f3bdb60de1cf3f08d76c9a2819a76d3,0.9994935,80,[0x69ad95b08f3bdb60de1cf3f08d76c9a2819a76d3],38574,80
0x3dae790f493b9b8261ab73b9115e502f98007565,0.99949324,2,[0x153643eb199636d81df6d991ef3d0ba916975fa7],0,2
0x5b97e43abd95b244909109209548c1e363f6237b,0.99949294,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x3e69bce620c75ad3ade36dd1b9fe87faddc46b19,0.9994905,100,[0x56deaf8541922a9d6ce050c5296106c723ada065],11804,100
0x2c9993522447d6ff6e43367fd0de18939bffa63a,0.9994903,1,[0x2c9993522447d6ff6e43367fd0de18939bffa63a],19491,2
0x0988d3a1004e2c97fbc35da05f6953bd91bd7c41,0.99948835,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x3c1a54d182d232d80bc9e95e9abc8b0b63d2bba9,0.9994867,16,[],24012,
0x420eb51bf840da3dcb238228f271bf97aceeeee6,0.99948585,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xb9837e18434236ee3c8a2e53b49d2b954041263e,0.99948585,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xeedb48540b63f53a870c3148e4e3f5a91e7ad9c2,0.99948585,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0xba7b8e5af70c0f1afcbae0c8e371658050b9f877,0.9994817,1,[],0,
